url,FileSize,NumOfOutLink,ContentType
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3FwashingtonJournal,35 KB,56,text/html
https://www.c-span.org/MyC-SPAN/login/?follow=tag%2F1069,35 KB,57,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=190,70 KB,96,text/html
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=13&sort=Trending,60 KB,96,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=53,38 KB,107,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=471,71 KB,96,text/html
https://www.c-span.org/schedule/,148 KB,126,text/html
https://www.c-span.org/event/?440146%2Foral-histories-katherine-westmoreland-west-point-interview,29 KB,57,text/html
https://www.c-span.org/congress/?chamber=senate,42 KB,82,text/html
https://www.c-span.org/congress/bills/bill/?115%2Fhr4533,46 KB,80,text/html
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=75&sort=Most%2BRecent%2BAiring,71 KB,96,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=50,39 KB,106,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3FPrimeMinisterQue,35 KB,56,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=860,70 KB,96,text/html
https://www.c-span.org/congress/?chamber=house,55 KB,98,text/html
https://www.c-span.org/congress/bills/bill/?115%2Fhr1725,51 KB,92,text/html
https://www.c-span.org/classroom/onthisday/,86 KB,348,text/html
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=70&sort=Most%2BRecent%2BAiring,74 KB,96,text/html
https://www.c-span.org/series/print/?date=2018-02-20%2018%3A15%3A55&series=5,30 KB,30,text/html
https://www.c-span.org/congress/members/?chamber=house,48 KB,91,text/html
https://www.c-span.org/MyC-SPAN/login/?redir=%2Fseries%2F%3Fqa,35 KB,56,text/html
https://www.c-span.org/congress/bills/?chamber=house,53 KB,122,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=51,39 KB,106,text/html
https://www.c-span.org/person/?davidmcmullin,33 KB,67,text/html
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=70&sort=Trending,61 KB,95,text/html
https://www.c-span.org/person/?georgepataki,40 KB,93,text/html
https://www.c-span.org/classroom/document/?7699,13 KB,74,text/html
https://www.c-span.org/classroom/constitutionClips/,113 KB,367,text/html
https://www.c-span.org/series/?theCivilWar,42 KB,84,text/html
https://www.c-span.org/search/?seriesid%5B%5D=5&sort=Newest&tagid%5B%5D=853,70 KB,96,text/html
https://www.c-span.org/person/?carletonfiorina,38 KB,93,text/html
https://www.c-span.org/search/?formatid%5B%5D=9&query&searchtype=Videos,71 KB,96,text/html
https://www.c-span.org/person/?donaldtrump,38 KB,88,text/html
https://www.c-span.org/congress/committees/?chamber=house,45 KB,118,text/html
https://www.c-span.org/classroom/search/?topicids%5B%5D=44,39 KB,106,text/html
https://www.c-span.org/congress/bills/bill/?115%2Fhr3122,48 KB,87,text/html
https://www.c-span.org/search/?personid%5B%5D=37386&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,75 KB,97,text/html
https://www.c-span.org/classroom/copyright/,15 KB,68,text/html
https://www.c-span.org/classroom/login/?redir=classroom%2Fdocument%2F%3F7443,12 KB,67,text/html
https://www.c-span.org/search/?searchtype=Videos&seriesid%5B%5D=30&sort=Most%2BRecent%2BAiring,72 KB,96,text/html
https://www.c-span.org/series/print/?date=2018-02-20%2018%3A16%3A10&series=30,5 KB,1,text/html
https://www.c-span.org/series/?lecturesInHistory,42 KB,84,text/html
https://www.c-span.org/search/?personid%5B%5D=82727&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,76 KB,97,text/html
https://www.c-span.org/person/?lincolnchafee,42 KB,96,text/html
https://www.c-span.org/search/?personid%5B%5D=1002800&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,60 KB,71,text/html
https://www.c-span.org/series/?thePresidency,43 KB,87,text/html
https://www.c-span.org/convention/?party=rnc,30 KB,57,text/html
https://www.c-span.org/search/?formatid%5B%5D=13&searchtype=Videos&sort=Newest,72 KB,96,text/html
https://www.c-span.org/search/?searchtype=Clips&seriesid%5B%5D=30&sort=Trending,60 KB,96,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7659,12 KB,67,text/html
https://www.c-span.org/classroom/login/?redir=%2Fclassroom%2Fdocument%2F%3F7655,12 KB,67,text/html
https://www.c-span.org/series/print/?date=2018-02-20&series=91,26 KB,7,text/html
https://www.c-span.org/person/?marcfeldman,35 KB,76,text/html
https://www.c-span.org/series/?oralHistories,46 KB,104,text/html
https://www.c-span.org/search/?edate=11%2F08%2F2016&formatid%5B%5D=18&sdate=07%2F01%2F2016&searchtype=Videos&sort=Most%2BRecent%2BEvent&tagid%5B%5D=294&text=0,76 KB,97,text/html
https://www.c-span.org/search/?formatid%5B%5D=25&searchtype=Videos&sort=Newest,72 KB,104,text/html
https://www.c-span.org/search/?personid%5B%5D=1914&searchtype=Videos&seriesid%5B%5D=91&sort=Most%2BRecent%2BAiring,62 KB,75,text/html
https://www.c-span.org/series/print/?date=2018-02-20%2018%3A16%3A10&series=70,45 KB,20,text/html
https://www.c-span.org/congress/bills/bill/?115%2Fs946,49 KB,103,text/html
https://www.c-span.org/person/?lindseygraham,43 KB,94,text/html
